City,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Greenville,1,1,1,0.00%,12,0:13:45,0.00%,0,$0.00 ,20180826
High Point,1,0,2,50.00%,2,0:07:21,0.00%,0,$0.00 ,20180826
Knightdale,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180826
Marion,1,0,2,50.00%,2,0:00:29,0.00%,0,$0.00 ,20180826
Oxford,1,0,1,0.00%,3,0:19:09,0.00%,0,$0.00 ,20180826
Reidsville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Siler City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Swannanoa,1,0,3,33.33%,3.67,0:06:32,0.00%,0,$0.00 ,20180826
Swansboro,1,1,1,0.00%,3,0:00:25,0.00%,0,$0.00 ,20180826
Williamston,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Cherry Hill,1,0,1,0.00%,3,0:11:29,0.00%,0,$0.00 ,20180826
Mount Laurel,1,0,2,50.00%,3.5,0:17:13,0.00%,0,$0.00 ,20180826
Newark,1,0,3,33.33%,5.33,0:09:22,0.00%,0,$0.00 ,20180826
Newburgh,1,0,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 ,20180826
Philadelphia,1,0,2,0.00%,2,0:12:29,0.00%,0,$0.00 ,20180826
Pittsburgh,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Columbia,1,1,1,0.00%,7,0:01:03,0.00%,0,$0.00 ,20180826
Conway,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Myrtle Beach,1,1,2,0.00%,3,0:06:58,0.00%,0,$0.00 ,20180826
Chattanooga,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180826
Knoxville,1,0,1,0.00%,3,0:00:46,0.00%,0,$0.00 ,20180826
Nashville,1,1,3,33.33%,4,0:13:14,0.00%,0,$0.00 ,20180826
Rosenberg,1,1,1,0.00%,4,0:01:24,0.00%,0,$0.00 ,20180826
Waco,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Chantilly,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Colonial Heights,1,0,1,0.00%,12,0:32:09,0.00%,0,$0.00 ,20180826
Reston,1,0,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 ,20180826
Richmond,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Brookhaven,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180826
Dale City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Holden Beach,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
North Plainfield,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Saxapahaw,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 ,20180826
Spokane Valley,1,0,1,0.00%,2,0:09:53,0.00%,0,$0.00 ,20180826
Saint Charles,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180826
West Springfield,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
,442,215,600,44.33%,2.74,0:05:08,0.00%,0,$0.00 ,20180826
Durham,149,53,210,43.33%,2.45,0:04:48,0.00%,0,$0.00 ,20180902
Charlotte,42,16,62,43.55%,2.65,0:05:57,0.00%,0,$0.00 ,20180902
Raleigh,22,12,33,60.61%,2.15,0:01:47,0.00%,0,$0.00 ,20180902
Atlanta,21,10,25,60.00%,2.32,0:02:57,0.00%,0,$0.00 ,20180902
Franklin,10,2,11,45.45%,1.82,0:02:58,0.00%,0,$0.00 ,20180902
Chapel Hill,8,4,12,16.67%,2,0:00:19,0.00%,0,$0.00 ,20180902
Cary,6,2,9,11.11%,4.56,0:10:28,0.00%,0,$0.00 ,20180902
Wake Forest,5,3,7,71.43%,1.29,0:00:15,0.00%,0,$0.00 ,20180902
New York,5,3,7,57.14%,1.86,0:02:45,0.00%,0,$0.00 ,20180902
(not set),4,3,5,80.00%,1.6,0:02:41,0.00%,0,$0.00 ,20180902
Orlando,4,2,6,33.33%,3,0:02:57,0.00%,0,$0.00 ,20180902
Hillsborough,4,1,6,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20180902
Mebane,4,1,4,0.00%,3,0:10:00,0.00%,0,$0.00 ,20180902
Norfolk,4,1,4,0.00%,3.5,0:02:11,0.00%,0,$0.00 ,20180902
Mobile,3,3,4,50.00%,1.75,0:00:38,0.00%,0,$0.00 ,20180902
Savannah,3,1,7,0.00%,6,0:21:49,0.00%,0,$0.00 ,20180902
Williamston,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Philadelphia,3,2,3,66.67%,1.67,0:05:35,0.00%,0,$0.00 ,20180902
Fearrington,3,2,4,75.00%,1.25,0:00:02,0.00%,0,$0.00 ,20180902
Friendly,3,2,3,0.00%,2.33,0:09:52,0.00%,0,$0.00 ,20180902
Corona,2,1,2,0.00%,5.5,0:09:54,0.00%,0,$0.00 ,20180902
Clayton,2,1,3,66.67%,2.67,0:09:08,0.00%,0,$0.00 ,20180902
Creedmoor,2,0,3,33.33%,3,0:13:49,0.00%,0,$0.00 ,20180902
Fayetteville,2,2,2,50.00%,2,0:00:49,0.00%,0,$0.00 ,20180902
Goldsboro,2,2,2,50.00%,2.5,0:10:35,0.00%,0,$0.00 ,20180902
Graham,2,0,2,0.00%,5.5,0:08:39,0.00%,0,$0.00 ,20180902
Greensboro,2,1,3,33.33%,1.67,0:02:16,0.00%,0,$0.00 ,20180902
Hickory,2,2,3,33.33%,1.67,0:00:32,0.00%,0,$0.00 ,20180902
Roxboro,2,1,3,33.33%,3.67,0:06:24,0.00%,0,$0.00 ,20180902
Sylva,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Whiteville,2,1,4,25.00%,1.75,0:06:15,0.00%,0,$0.00 ,20180902
Cincinnati,2,2,2,50.00%,1.5,0:01:34,0.00%,0,$0.00 ,20180902
Carrollton,2,1,3,33.33%,5.33,0:06:39,0.00%,0,$0.00 ,20180902
Saint Charles,2,2,2,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180902
Chandler,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180902
Berkeley,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180902
Oakland,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Pittsburg,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hartford,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Middletown,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Washington,1,1,1,0.00%,7,0:09:48,0.00%,0,$0.00 ,20180902
