City,Source,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
North Druid Hills,myubc.org,1,1,2,50.00%,2,0:00:32,0.00%,0,$0.00 ,20180812
Spokane Valley,(direct),1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
,,530,313,643,49.77%,2.21,0:03:22,0.00%,0,$0.00 ,20180812
Durham,(direct),63,32,79,50.63%,2.57,0:04:49,0.00%,0,$0.00 ,20180819
Durham,google,58,31,70,45.71%,3.16,0:07:56,0.00%,0,$0.00 ,20180819
Durham,myubc.org,57,18,72,18.06%,3.99,0:06:38,0.00%,0,$0.00 ,20180819
Charlotte,google,17,9,23,47.83%,2.78,0:04:51,0.00%,0,$0.00 ,20180819
Durham,bing,16,10,24,70.83%,1.83,0:02:47,0.00%,0,$0.00 ,20180819
Charlotte,(direct),15,8,18,66.67%,1.44,0:01:02,0.00%,0,$0.00 ,20180819
Charlotte,myubc.org,15,6,15,20.00%,2.53,0:06:26,0.00%,0,$0.00 ,20180819
Raleigh,google,9,2,10,70.00%,1.4,0:01:46,0.00%,0,$0.00 ,20180819
Atlanta,(direct),8,2,10,10.00%,4.8,0:10:13,0.00%,0,$0.00 ,20180819
Franklin,(direct),8,5,9,33.33%,2.22,0:10:17,0.00%,0,$0.00 ,20180819
New York,(direct),6,6,6,83.33%,1.67,0:00:11,0.00%,0,$0.00 ,20180819
Atlanta,google,5,4,7,71.43%,1.86,0:00:47,0.00%,0,$0.00 ,20180819
Atlanta,myubc.org,5,4,7,28.57%,3.29,0:03:54,0.00%,0,$0.00 ,20180819
Franklin,google,5,1,6,16.67%,2.67,0:15:12,0.00%,0,$0.00 ,20180819
Winston-Salem,google,5,3,5,40.00%,1.6,0:00:29,0.00%,0,$0.00 ,20180819
North Druid Hills,myubc.org,5,3,5,40.00%,2,0:05:57,0.00%,0,$0.00 ,20180819
Chapel Hill,google,4,3,4,50.00%,2,0:02:08,0.00%,0,$0.00 ,20180819
Creedmoor,google,4,3,4,50.00%,4.25,0:19:19,0.00%,0,$0.00 ,20180819
Franklin,myubc.org,4,2,4,0.00%,7.75,0:12:44,0.00%,0,$0.00 ,20180819
Raleigh,(direct),4,0,5,80.00%,1.2,0:00:21,0.00%,0,$0.00 ,20180819
Raleigh,myubc.org,4,2,7,14.29%,5.71,0:06:59,0.00%,0,$0.00 ,20180819
Cincinnati,(direct),4,4,4,0.00%,5.75,0:01:22,0.00%,0,$0.00 ,20180819
North Druid Hills,(direct),4,4,4,75.00%,1.25,0:00:01,0.00%,0,$0.00 ,20180819
(not set),myubc.org,3,3,4,0.00%,5.25,0:18:50,0.00%,0,$0.00 ,20180819
Cary,myubc.org,3,2,3,0.00%,4,0:04:40,0.00%,0,$0.00 ,20180819
Roanoke Rapids,google,3,3,3,33.33%,3,0:10:40,0.00%,0,$0.00 ,20180819
New York,google,3,0,3,66.67%,2,0:02:50,0.00%,0,$0.00 ,20180819
Orlando,google,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
