City,Device.Category,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Williamston,mobile,1,1,1,0.00%,2,0:08:21,0.00%,0,$0.00 ,20180819
Wilson,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Winston-Salem,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Newburgh,tablet,1,0,3,66.67%,2,0:00:43,0.00%,0,$0.00 ,20180819
Cincinnati,desktop,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Lancaster,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Philadelphia,desktop,1,0,1,0.00%,2,0:09:09,0.00%,0,$0.00 ,20180819
Philadelphia,mobile,1,0,2,0.00%,2,0:06:30,0.00%,0,$0.00 ,20180819
Blythewood,mobile,1,0,1,0.00%,5,0:13:38,0.00%,0,$0.00 ,20180819
Columbia,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Conway,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kingstree,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Manning,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
North Myrtle Beach,mobile,1,0,1,0.00%,3,0:01:10,0.00%,0,$0.00 ,20180819
Sumter,desktop,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Johnson City,mobile,1,1,2,50.00%,2.5,0:04:18,0.00%,0,$0.00 ,20180819
Nashville,mobile,1,1,2,0.00%,3,0:01:37,0.00%,0,$0.00 ,20180819
Carrollton,mobile,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180819
Kilgore,mobile,1,1,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20180819
Missouri City,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Annandale,desktop,1,1,2,0.00%,8.5,0:06:27,0.00%,0,$0.00 ,20180819
Arlington,tablet,1,0,1,0.00%,5,0:04:56,0.00%,0,$0.00 ,20180819
Chantilly,mobile,1,1,3,33.33%,4.33,0:08:03,0.00%,0,$0.00 ,20180819
