# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180812-20180812,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Myrtle Beach,mobile,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Nashville,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Dallas,mobile,1,1,2,50.00%,6.5,0:23:30,0.00%,0,$0.00 
Fort Worth,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Houston,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mesquite,mobile,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Newport News,desktop,1,1,1,0.00%,5,0:07:09,0.00%,0,$0.00 
Newport News,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Richmond,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Stafford,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Stafford,tablet,1,0,1,0.00%,2,0:00:41,0.00%,0,$0.00 
Seattle,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Churchville,desktop,1,1,1,0.00%,3,0:00:02,0.00%,0,$0.00 
Flint Township,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Friendly,tablet,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 
Marvin,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
North Druid Hills,mobile,1,1,2,50.00%,2,0:00:32,0.00%,0,$0.00 
Spokane Valley,desktop,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
,,497,313,643,49.77%,2.21,0:03:22,0.00%,0,$0.00 
