# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181216-20181216,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Rocky Mount,2018121609,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sanford,2018121622,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Swansboro,2018121611,1,0,1,0.00%,4,0:16:11,0.00%,0,$0.00 
Sylva,2018121609,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,2018121611,1,1,1,0.00%,3,0:07:22,0.00%,0,$0.00 
Wendell,2018121610,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Whiteville,2018121611,1,1,1,0.00%,6,0:03:27,0.00%,0,$0.00 
Wilmington,2018121611,1,1,2,50.00%,2.5,0:00:39,0.00%,0,$0.00 
Winston-Salem,2018121608,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,2018121610,1,1,1,0.00%,4,0:33:25,0.00%,0,$0.00 
New York,2018121611,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newburgh,2018121609,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newburgh,2018121611,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
New Kensington,2018121611,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,2018121607,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Plymouth Meeting,2018121607,1,1,1,0.00%,2,0:00:13,0.00%,0,$0.00 
Kingstree,2018121612,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Memphis,2018121609,1,1,1,0.00%,2,0:00:52,0.00%,0,$0.00 
Carrollton,2018121609,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Frisco,2018121609,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Tyler,2018121617,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlottesville,2018121607,1,0,2,50.00%,1.5,0:00:10,0.00%,0,$0.00 
Hampton,2018121611,1,0,5,40.00%,3,0:01:14,0.00%,0,$0.00 
Norfolk,2018121609,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,2018121611,1,0,1,0.00%,1,0:22:18,0.00%,0,$0.00 
Norfolk,2018121612,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Carolina Shores,2018121608,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Panthersville,2018121610,1,1,1,0.00%,2,0:04:25,0.00%,0,$0.00 
,,510,155,531,49.15%,2.45,0:03:10,0.00%,0,$0.00 
